x,y,z,lithology_index,density_true,density_inverted,density_residual,resistivity_log10_true,resistivity_log10_inverted,chargeability_mrad,magnetic_susceptibility,gravity_proxy_mgal,magnetic_proxy_nt,display_contrast_index
1200.000,50.000,-540.000,5,2.950000,2.702286,-0.247714,2.600000,2.287294,6.000000,0.00900000,4.522309,8.550000,5.000000
0.000,100.000,-540.000,5,2.950000,2.701840,-0.248160,2.600000,2.286700,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,100.000,-540.000,5,2.950000,2.701681,-0.248319,2.600000,2.286480,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,100.000,-540.000,5,2.950000,2.701585,-0.248415,2.600000,2.286348,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,100.000,-540.000,5,2.950000,2.701531,-0.248469,2.600000,2.286275,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,100.000,-540.000,5,2.950000,2.701562,-0.248438,2.600000,2.286342,6.000000,0.00900000,4.522309,8.550000,5.000000
250.000,100.000,-540.000,5,2.950002,2.702626,-0.247376,2.600003,2.288370,5.999954,0.00900017,4.522323,8.550293,5.000008
300.000,100.000,-540.000,5,2.951489,2.714047,-0.237442,2.602730,2.309245,5.960291,0.00914891,4.534222,8.800662,5.006949
350.000,100.000,-540.000,5,3.005877,2.758224,-0.247654,2.702442,2.380768,4.509940,0.01458773,4.969327,17.956005,5.260761
400.000,100.000,-540.000,5,3.042122,2.784482,-0.257640,2.768889,2.419253,3.543707,0.01821260,5.259289,24.057881,5.429909
450.000,100.000,-540.000,5,2.955564,2.717847,-0.237717,2.609647,2.311710,5.945274,0.00966736,4.566825,9.673387,5.027446
500.000,100.000,-540.000,5,2.921150,2.676104,-0.245046,2.532674,2.224259,9.207309,0.00900212,4.291512,8.553576,4.903863
550.000,100.000,-540.000,5,2.886378,2.658007,-0.228371,2.451549,2.182089,13.069097,0.00900000,4.013335,8.550005,4.787927
600.000,100.000,-540.000,5,2.938131,2.683690,-0.254441,2.572305,2.243408,7.318815,0.00900002,4.427359,8.550024,4.960437
650.000,100.000,-540.000,5,2.949813,2.699354,-0.250459,2.599563,2.280385,6.020891,0.00900007,4.520818,8.550084,4.999378
700.000,100.000,-540.000,5,2.950002,2.702416,-0.247586,2.600000,2.287716,6.000177,0.00900017,4.522328,8.550200,5.000005
750.000,100.000,-540.000,5,2.950003,2.705310,-0.244693,2.600001,2.294427,6.000244,0.00900027,4.522343,8.550327,5.000009
800.000,100.000,-540.000,5,2.950003,2.705329,-0.244674,2.600001,2.294459,6.000273,0.00900031,4.522347,8.550366,5.000010
850.000,100.000,-540.000,5,2.950003,2.702686,-0.247317,2.600001,2.288352,6.000209,0.00900023,4.522338,8.550281,5.000008
900.000,100.000,-540.000,5,2.950001,2.702547,-0.247454,2.600001,2.287988,6.000110,0.00900012,4.522325,8.550148,5.000004
950.000,100.000,-540.000,5,2.950000,2.702412,-0.247589,2.600000,2.287624,6.000040,0.00900004,4.522315,8.550053,5.000002
1000.000,100.000,-540.000,5,2.950000,2.702382,-0.247618,2.600000,2.287550,6.000010,0.00900001,4.522311,8.550013,5.000000
1050.000,100.000,-540.000,5,2.950000,2.702380,-0.247620,2.600000,2.287549,6.000002,0.00900000,4.522310,8.550002,5.000000
1100.000,100.000,-540.000,5,2.950000,2.702370,-0.247630,2.600000,2.287519,6.000000,0.00900000,4.522309,8.550000,5.000000
1150.000,100.000,-540.000,5,2.950000,2.702315,-0.247685,2.600000,2.287366,6.000000,0.00900000,4.522309,8.550000,5.000000
1200.000,100.000,-540.000,5,2.950000,2.702240,-0.247760,2.600000,2.287228,6.000000,0.00900000,4.522309,8.550000,5.000000
0.000,150.000,-540.000,5,2.950000,2.701326,-0.248674,2.600000,2.286083,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,150.000,-540.000,5,2.950000,2.700932,-0.249068,2.600000,2.285555,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,150.000,-540.000,5,2.950000,2.700635,-0.249365,2.600000,2.285150,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,150.000,-540.000,5,2.950000,2.700466,-0.249534,2.600000,2.284921,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,150.000,-540.000,5,2.950000,2.700477,-0.249523,2.600000,2.284963,6.000000,0.00900000,4.522309,8.550000,5.000000
250.000,150.000,-540.000,5,2.950000,2.701205,-0.248795,2.600000,2.286337,5.999993,0.00900003,4.522312,8.550044,5.000001
300.000,150.000,-540.000,5,2.950441,2.708742,-0.241699,2.600808,2.300148,5.988240,0.00904410,4.525837,8.624234,5.002058
350.000,150.000,-540.000,5,2.982910,2.750076,-0.232834,2.660335,2.368308,5.122395,0.01229102,4.785591,14.089883,5.153581
400.000,150.000,-540.000,5,3.057907,2.812991,-0.244916,2.797829,2.461504,3.122591,0.01979084,5.385566,26.714576,5.503568
450.000,150.000,-540.000,5,2.964969,2.733257,-0.231712,2.627154,2.337683,5.649570,0.01055457,4.642058,11.166856,5.070623
500.000,150.000,-540.000,5,2.928873,2.681644,-0.247229,2.550655,2.236909,8.355712,0.00900985,4.353297,8.566570,4.929709
550.000,150.000,-540.000,5,2.883913,2.656781,-0.227132,2.445796,2.179399,13.343103,0.00900004,3.993613,8.550050,4.779709
600.000,150.000,-540.000,5,2.932582,2.679899,-0.252683,2.559353,2.234567,7.935786,0.00900019,4.382969,8.550233,4.941938
650.000,150.000,-540.000,5,2.949619,2.698398,-0.251220,2.599096,2.278231,6.043800,0.00900068,4.519283,8.550812,4.998727
700.000,150.000,-540.000,5,2.950017,2.705100,-0.244917,2.600006,2.293751,6.001526,0.00900162,4.522503,8.551936,5.000052
750.000,150.000,-540.000,5,2.950028,2.705738,-0.244290,2.600012,2.295164,6.002361,0.00900265,4.522635,8.553166,5.000090
800.000,150.000,-540.000,5,2.950032,2.705813,-0.244219,2.600014,2.295271,6.002645,0.00900296,4.522674,8.553546,5.000100
850.000,150.000,-540.000,5,2.950024,2.705649,-0.244376,2.600010,2.294935,6.002030,0.00900227,4.522589,8.552721,5.000077
900.000,150.000,-540.000,5,2.950013,2.705402,-0.244611,2.600006,2.294465,6.001067,0.00900120,4.522457,8.551431,5.000040
950.000,150.000,-540.000,5,2.950005,2.702578,-0.247427,2.600002,2.288001,6.000385,0.00900043,4.522362,8.550516,5.000015
1000.000,150.000,-540.000,5,2.950001,2.702406,-0.247595,2.600000,2.287591,6.000095,0.00900011,4.522323,8.550127,5.000004
1050.000,150.000,-540.000,5,2.950000,2.702383,-0.247617,2.600000,2.287550,6.000016,0.00900002,4.522312,8.550022,5.000001
1100.000,150.000,-540.000,5,2.950000,2.702380,-0.247620,2.600000,2.287549,6.000002,0.00900000,4.522310,8.550002,5.000000
1150.000,150.000,-540.000,5,2.950000,2.702353,-0.247647,2.600000,2.287478,6.000000,0.00900000,4.522309,8.550000,5.000000
1200.000,150.000,-540.000,5,2.950000,2.702229,-0.247771,2.600000,2.287237,6.000000,0.00900000,4.522309,8.550000,5.000000
0.000,200.000,-540.000,5,2.950000,2.711995,-0.238005,2.600000,2.298831,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,200.000,-540.000,5,2.950000,2.711612,-0.238388,2.600000,2.298376,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,200.000,-540.000,5,2.950000,2.711179,-0.238821,2.600000,2.297802,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,200.000,-540.000,5,2.950000,2.710870,-0.239130,2.600000,2.297384,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,200.000,-540.000,5,2.950000,2.710859,-0.239141,2.600000,2.297390,6.000000,0.00900000,4.522309,8.550000,5.000000
250.000,200.000,-540.000,5,2.950000,2.711449,-0.238552,2.600000,2.298446,5.999999,0.00900000,4.522310,8.550006,5.000000
300.000,200.000,-540.000,5,2.950112,2.716305,-0.233807,2.600206,2.307278,5.997006,0.00901123,4.523208,8.568899,5.000524
350.000,200.000,-540.000,5,2.966662,2.749835,-0.216828,2.630548,2.363815,5.555668,0.01066624,4.655609,11.354845,5.077758
400.000,200.000,-540.000,5,3.058652,2.824288,-0.234364,2.799196,2.475283,3.102644,0.01986528,5.391528,26.839888,5.507045
450.000,200.000,-540.000,5,2.980843,2.745163,-0.235680,2.656403,2.357729,5.201668,0.01211296,4.769058,13.790144,5.144318
500.000,200.000,-540.000,5,2.935525,2.687975,-0.247551,2.566029,2.250903,7.641441,0.00903922,4.406514,8.615998,4.952274
550.000,200.000,-540.000,5,2.884597,2.657081,-0.227515,2.447388,2.180400,13.267498,0.00900024,3.999091,8.550292,4.781989
600.000,200.000,-540.000,5,2.925651,2.675947,-0.249704,2.543164,2.225297,8.707674,0.00900109,4.327560,8.551298,4.918836
650.000,200.000,-540.000,5,2.949273,2.699765,-0.249508,2.598225,2.281011,6.088717,0.00900378,4.516630,8.554521,4.997568
700.000,200.000,-540.000,5,2.950095,2.705635,-0.244460,2.600037,2.294106,6.008274,0.00900902,4.523403,8.560786,5.000298
750.000,200.000,-540.000,5,2.950159,2.706630,-0.243529,2.600068,2.295635,6.013154,0.00901474,4.524124,8.567633,5.000499
800.000,200.000,-540.000,5,2.950178,2.706815,-0.243362,2.600076,2.295793,6.014734,0.00901651,4.524342,8.569751,5.000559
850.000,200.000,-540.000,5,2.950136,2.706536,-0.243601,2.600058,2.295628,6.011308,0.00901267,4.523869,8.565158,5.000429
900.000,200.000,-540.000,5,2.950072,2.705975,-0.244097,2.600031,2.295083,6.005946,0.00900666,4.523130,8.557971,5.000226
950.000,200.000,-540.000,5,2.950026,2.702869,-0.247156,2.600011,2.288435,6.002142,0.00900240,4.522605,8.552872,5.000081
1000.000,200.000,-540.000,5,2.950006,2.702490,-0.247516,2.600003,2.287719,6.000529,0.00900059,4.522382,8.550709,5.000020
1050.000,200.000,-540.000,5,2.950001,2.702392,-0.247609,2.600000,2.287554,6.000089,0.00900010,4.522322,8.550120,5.000003
1100.000,200.000,-540.000,5,2.950000,2.702381,-0.247619,2.600000,2.287549,6.000010,0.00900001,4.522311,8.550014,5.000000
1150.000,200.000,-540.000,5,2.950000,2.702412,-0.247588,2.600000,2.287580,6.000001,0.00900000,4.522310,8.550001,5.000000
1200.000,200.000,-540.000,5,2.950000,2.702550,-0.247450,2.600000,2.287738,6.000000,0.00900000,4.522309,8.550000,5.000000
0.000,250.000,-540.000,5,2.950000,2.711847,-0.238153,2.600000,2.298652,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,250.000,-540.000,5,2.950000,2.711507,-0.238493,2.600000,2.298251,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,250.000,-540.000,5,2.950000,2.711423,-0.238577,2.600000,2.298202,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,250.000,-540.000,5,2.950000,2.711205,-0.238795,2.600000,2.297922,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,250.000,-540.000,5,2.950000,2.711187,-0.238813,2.600000,2.297917,6.000000,0.00900000,4.522309,8.550000,5.000000
250.000,250.000,-540.000,5,2.950000,2.711535,-0.238465,2.600000,2.298547,6.000000,0.00900000,4.522309,8.550001,5.000000
300.000,250.000,-540.000,5,2.950025,2.714144,-0.235880,2.600045,2.303358,5.999345,0.00900246,4.522506,8.554136,5.000115
350.000,250.000,-540.000,5,2.957252,2.735100,-0.222152,2.613295,2.340406,5.806612,0.00972520,4.580326,9.770760,5.033843
400.000,250.000,-540.000,5,3.044046,2.796111,-0.247934,2.772417,2.433938,3.492128,0.01840459,5.274675,24.381053,5.438880
450.000,250.000,-540.000,5,3.003451,2.753604,-0.249847,2.697925,2.371807,4.586068,0.01435858,4.949915,17.570272,5.249617
500.000,250.000,-540.000,5,2.941421,2.695995,-0.245426,2.579310,2.267617,7.066677,0.00913424,4.453682,8.775928,4.973192
550.000,250.000,-540.000,5,2.888336,2.661823,-0.226513,2.456102,2.191322,12.853123,0.00900083,4.029022,8.551066,4.794453
600.000,250.000,-540.000,5,2.917582,2.672212,-0.245369,2.524286,2.216148,9.609269,0.00900347,4.263093,8.554156,4.891933
650.000,250.000,-540.000,5,2.948684,2.698697,-0.249988,2.596682,2.277473,6.171455,0.00901210,4.512231,8.564471,4.995590
700.000,250.000,-540.000,5,2.950305,2.706733,-0.243573,2.600120,2.294237,6.026362,0.00902886,4.525818,8.584526,5.000959
750.000,250.000,-540.000,5,2.950508,2.708651,-0.241857,2.600218,2.296515,6.042105,0.00904719,4.528117,8.606442,5.001597
800.000,250.000,-540.000,5,2.950569,2.709077,-0.241492,2.600244,2.296814,6.047161,0.00905285,4.528814,8.613220,5.001789
850.000,250.000,-540.000,5,2.950437,2.708334,-0.242103,2.600187,2.296497,6.036195,0.00904056,4.527302,8.598520,5.001373
900.000,250.000,-540.000,5,2.950230,2.707069,-0.243161,2.600098,2.295842,6.019033,0.00902133,4.524935,8.575515,5.000722
950.000,250.000,-540.000,5,2.950083,2.705932,-0.244150,2.600035,2.294823,6.006858,0.00900769,4.523255,8.559193,5.000260
1000.000,250.000,-540.000,5,2.950020,2.702800,-0.247220,2.600009,2.288344,6.001693,0.00900190,4.522543,8.552270,5.000064
1050.000,250.000,-540.000,5,2.950003,2.702452,-0.247551,2.600001,2.287672,6.000286,0.00900032,4.522349,8.550384,5.000011
1100.000,250.000,-540.000,5,2.950000,2.702385,-0.247616,2.600000,2.287550,6.000033,0.00900004,4.522314,8.550044,5.000001
1150.000,250.000,-540.000,5,2.950000,2.702410,-0.247590,2.600000,2.287583,6.000003,0.00900000,4.522310,8.550004,5.000000
1200.000,250.000,-540.000,5,2.950000,2.702529,-0.247471,2.600000,2.287709,6.000000,0.00900000,4.522309,8.550000,5.000000
0.000,300.000,-540.000,5,2.950000,2.701216,-0.248784,2.600000,2.286115,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,300.000,-540.000,5,2.950000,2.701077,-0.248923,2.600000,2.285860,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,300.000,-540.000,5,2.950000,2.712219,-0.237781,2.600000,2.299134,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,300.000,-540.000,5,2.950000,2.712452,-0.237548,2.600000,2.299510,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,300.000,-540.000,5,2.950000,2.712443,-0.237557,2.600000,2.299516,6.000000,0.00900000,4.522309,8.550000,5.000000
250.000,300.000,-540.000,5,2.950000,2.712292,-0.237708,2.600000,2.299385,6.000000,0.00900000,4.522309,8.550000,5.000000
300.000,300.000,-540.000,5,2.950005,2.702492,-0.247513,2.600008,2.288660,5.999877,0.00900046,4.522346,8.550778,5.000022
350.000,300.000,-540.000,5,2.952713,2.716568,-0.236145,2.604974,2.314130,5.927646,0.00927133,4.544016,9.006735,5.012662
400.000,300.000,-540.000,5,3.019976,2.764967,-0.255009,2.728290,2.390967,4.133970,0.01599764,5.082120,20.329355,5.326556
450.000,300.000,-540.000,5,3.029233,2.770657,-0.258576,2.745230,2.397926,3.892274,0.01692938,5.156174,21.897775,5.369835
500.000,300.000,-540.000,5,2.947641,2.708523,-0.239119,2.592519,2.292934,6.595785,0.00939495,4.503447,9.214748,4.997402
550.000,300.000,-540.000,5,2.894616,2.666045,-0.228571,2.470741,2.200694,12.157098,0.00900212,4.079286,8.552958,4.815397
600.000,300.000,-540.000,5,2.908871,2.671218,-0.237652,2.503901,2.212948,10.583254,0.00900639,4.193512,8.557644,4.862890
650.000,300.000,-540.000,5,2.947646,2.697454,-0.250192,2.594052,2.273218,6.308008,0.00902225,4.504301,8.576617,4.992109
700.000,300.000,-540.000,5,2.950558,2.707965,-0.242593,2.600213,2.294288,6.048910,0.00905309,4.528733,8.613506,5.001751
750.000,300.000,-540.000,5,2.950935,2.710986,-0.239949,2.600401,2.297609,6.077446,0.00908679,4.532991,8.653816,5.002938
800.000,300.000,-540.000,5,2.951047,2.711665,-0.239382,2.600449,2.298044,6.086746,0.00909722,4.534274,8.666285,5.003290
850.000,300.000,-540.000,5,2.950803,2.710368,-0.240435,2.600344,2.297474,6.066576,0.00907461,4.531492,8.639246,5.002525
900.000,300.000,-540.000,5,2.950423,2.708220,-0.242203,2.600181,2.296458,6.035009,0.00903923,4.527138,8.596931,5.001328
950.000,300.000,-540.000,5,2.950152,2.706570,-0.243582,2.600065,2.295595,6.012614,0.00901414,4.524049,8.566910,5.000478
1000.000,300.000,-540.000,5,2.950038,2.705600,-0.244438,2.600016,2.294616,6.003114,0.00900349,4.522739,8.554175,5.000118
1050.000,300.000,-540.000,5,2.950006,2.702576,-0.247431,2.600003,2.287976,6.000527,0.00900059,4.522382,8.550706,5.000020
1100.000,300.000,-540.000,5,2.950001,2.702399,-0.247602,2.600000,2.287593,6.000061,0.00900007,4.522318,8.550082,5.000002
1150.000,300.000,-540.000,5,2.950000,2.702361,-0.247639,2.600000,2.287511,6.000005,0.00900001,4.522310,8.550006,5.000000
1200.000,300.000,-540.000,5,2.950000,2.702217,-0.247783,2.600000,2.287263,6.000000,0.00900000,4.522309,8.550000,5.000000
0.000,350.000,-540.000,5,2.950000,2.704446,-0.245554,2.600000,2.292957,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,350.000,-540.000,5,2.950000,2.701706,-0.248294,2.600000,2.286720,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,350.000,-540.000,5,2.950000,2.701897,-0.248103,2.600000,2.286868,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,350.000,-540.000,5,2.950000,2.701916,-0.248084,2.600000,2.286890,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,350.000,-540.000,5,2.950000,2.701913,-0.248087,2.600000,2.286905,6.000000,0.00900000,4.522309,8.550000,5.000000
250.000,350.000,-540.000,5,2.950000,2.701946,-0.248054,2.600000,2.287051,6.000000,0.00900000,4.522309,8.550000,5.000000
300.000,350.000,-540.000,5,2.950001,2.702387,-0.247614,2.600001,2.288031,5.999980,0.00900007,4.522315,8.550126,5.000003
350.000,350.000,-540.000,5,2.950873,2.711659,-0.239214,2.601600,2.305023,5.976729,0.00908727,4.529291,8.696897,5.004072
400.000,350.000,-540.000,5,2.994759,2.752014,-0.242745,2.682057,2.371342,4.806441,0.01347586,4.880378,16.084357,5.208873
450.000,350.000,-540.000,5,3.050839,2.788167,-0.262672,2.784858,2.424273,3.313179,0.01908651,5.329023,25.528953,5.470617
500.000,350.000,-540.000,5,2.956168,2.720024,-0.236144,2.609394,2.314308,6.158438,0.00999888,4.571656,10.231356,5.033874
550.000,350.000,-540.000,5,2.902634,2.671399,-0.231235,2.489430,2.212412,11.269367,0.00900567,4.143428,8.558903,4.842168
600.000,350.000,-540.000,5,2.900248,2.667753,-0.232495,2.483773,2.204395,11.542113,0.00900676,4.124543,8.558081,4.834146
650.000,350.000,-540.000,5,2.945822,2.695183,-0.250639,2.589768,2.267589,6.513386,0.00902352,4.489751,8.578134,4.986024
700.000,350.000,-540.000,5,2.950571,2.707788,-0.242783,2.600181,2.293447,6.053780,0.00905612,4.528949,8.617123,5.001788
750.000,350.000,-540.000,5,2.950988,2.711282,-0.239706,2.600423,2.297735,6.081859,0.00909174,4.533600,8.659730,5.003105
800.000,350.000,-540.000,5,2.951107,2.711994,-0.239113,2.600474,2.298214,6.091688,0.00910275,4.534956,8.672909,5.003478
850.000,350.000,-540.000,5,2.950849,2.710615,-0.240234,2.600364,2.297589,6.070368,0.00907886,4.532015,8.644330,5.002669
900.000,350.000,-540.000,5,2.950447,2.708356,-0.242090,2.600191,2.296521,6.037004,0.00904147,4.527413,8.599604,5.001404
950.000,350.000,-540.000,5,2.950161,2.706662,-0.243499,2.600069,2.295729,6.013333,0.00901494,4.524148,8.567873,5.000506
1000.000,350.000,-540.000,5,2.950040,2.705713,-0.244326,2.600017,2.294916,6.003292,0.00900369,4.522763,8.554413,5.000125
1050.000,350.000,-540.000,5,2.950007,2.702604,-0.247403,2.600003,2.288050,6.000557,0.00900062,4.522386,8.550747,5.000021
1100.000,350.000,-540.000,5,2.950001,2.702400,-0.247601,2.600000,2.287593,6.000065,0.00900007,4.522318,8.550087,5.000002
1150.000,350.000,-540.000,5,2.950000,2.702378,-0.247622,2.600000,2.287555,6.000005,0.00900001,4.522310,8.550007,5.000000
1200.000,350.000,-540.000,5,2.950000,2.702354,-0.247646,2.600000,2.287596,6.000000,0.00900000,4.522309,8.550000,5.000000
0.000,400.000,-540.000,5,2.950000,2.704994,-0.245006,2.600000,2.293829,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,400.000,-540.000,5,2.950000,2.702242,-0.247758,2.600000,2.287472,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,400.000,-540.000,5,2.950000,2.702117,-0.247883,2.600000,2.287105,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,400.000,-540.000,5,2.950000,2.702067,-0.247933,2.600000,2.287028,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,400.000,-540.000,5,2.950000,2.702053,-0.247947,2.600000,2.287035,6.000000,0.00900000,4.522309,8.550000,5.000000
