x,y,z,density_true,density_inverted,density_residual,resistivity_log10_true,resistivity_log10_inverted,chargeability_mrad,magnetic_susceptibility,gravity_proxy_mgal,magnetic_proxy_nt
0.000000,50.000000,-250.000000,0.000710,0.000650,-0.000060,2.149539,2.159472,8.011636,0.002047,0.009522,0.245618
0.000000,50.000000,-200.000000,0.000768,0.000700,-0.000068,2.149495,2.159429,8.012407,0.002053,0.010924,0.246418
0.000000,50.000000,-150.000000,0.000647,0.000584,-0.000063,2.149564,2.159498,8.010140,0.002050,0.009761,0.246002
0.000000,50.000000,-100.000000,0.000412,0.000367,-0.000045,2.149715,2.159648,8.006233,0.002035,0.006592,0.244247
0.000000,50.000000,-50.000000,0.000182,0.000161,-0.000021,2.149872,2.159806,8.002702,0.002016,0.003089,0.241975
0.000000,50.000000,0.000000,0.000053,0.000047,-0.000006,2.149963,2.159897,8.000789,0.002005,0.000949,0.240559
0.000000,100.000000,-500.000000,0.000014,0.000013,-0.000001,2.149991,2.169462,8.000232,0.002001,0.000141,0.240109
0.000000,100.000000,-450.000000,0.000068,0.000062,-0.000006,2.149956,2.169427,8.001120,0.002004,0.000721,0.240528
0.000000,100.000000,-400.000000,0.000241,0.000221,-0.000020,2.149844,2.169315,8.003971,0.002016,0.002711,0.241872
0.000000,100.000000,-350.000000,0.000628,0.000576,-0.000052,2.149594,2.169065,8.010340,0.002041,0.007487,0.244878
0.000000,100.000000,-300.000000,0.001204,0.001104,-0.000100,2.149220,2.168691,8.019811,0.002078,0.015228,0.249388
0.000000,100.000000,-250.000000,0.001719,0.001574,-0.000145,2.148882,2.168352,8.028146,0.002114,0.023064,0.253683
0.000000,100.000000,-200.000000,0.001885,0.001715,-0.000170,2.148755,2.168226,8.030300,0.002134,0.026821,0.256067
0.000000,100.000000,-150.000000,0.001633,0.001467,-0.000166,2.148889,2.168360,8.025277,0.002131,0.024635,0.255743
0.000000,100.000000,-100.000000,0.001071,0.000949,-0.000122,2.149249,2.168720,8.015915,0.002097,0.017145,0.251604
0.000000,100.000000,-50.000000,0.000481,0.000423,-0.000058,2.149658,2.169129,8.006991,0.002046,0.008158,0.245491
0.000000,100.000000,0.000000,0.000138,0.000122,-0.000016,2.149902,2.169373,8.002030,0.002013,0.002489,0.241544
0.000000,150.000000,-500.000000,0.000030,0.000027,-0.000002,2.149981,2.178213,8.000493,0.002002,0.000299,0.240232
0.000000,150.000000,-450.000000,0.000144,0.000132,-0.000012,2.149907,2.178139,8.002378,0.002009,0.001530,0.241121
0.000000,150.000000,-400.000000,0.000512,0.000470,-0.000042,2.149669,2.177901,8.008428,0.002033,0.005753,0.243973
0.000000,150.000000,-350.000000,0.001333,0.001223,-0.000110,2.149138,2.177370,8.021947,0.002086,0.015891,0.250353
0.000000,150.000000,-300.000000,0.002556,0.002345,-0.000211,2.148344,2.176577,8.042055,0.002166,0.032328,0.259937
0.000000,150.000000,-250.000000,0.003656,0.003347,-0.000309,2.147621,2.175853,8.059806,0.002243,0.049033,0.269148
0.000000,150.000000,-200.000000,0.004028,0.003662,-0.000365,2.147336,2.175568,8.064609,0.002288,0.057300,0.274560
0.000000,150.000000,-150.000000,0.003522,0.003159,-0.000362,2.147597,2.175829,8.054291,0.002287,0.053138,0.274398
0.000000,150.000000,-100.000000,0.002335,0.002065,-0.000270,2.148356,2.176588,8.034467,0.002214,0.037357,0.265686
0.000000,150.000000,-50.000000,0.001053,0.000924,-0.000128,2.149247,2.177480,8.015205,0.002102,0.017865,0.252220
0.000000,150.000000,0.000000,0.000302,0.000266,-0.000036,2.149785,2.178017,8.004407,0.002029,0.005439,0.243428
0.000000,200.000000,-500.000000,0.000056,0.000051,-0.000005,2.149964,2.185832,8.000920,0.002004,0.000559,0.240434
0.000000,200.000000,-450.000000,0.000270,0.000247,-0.000022,2.149825,2.185693,8.004442,0.002017,0.002859,0.242094
0.000000,200.000000,-400.000000,0.000956,0.000877,-0.000079,2.149381,2.185249,8.015746,0.002062,0.010749,0.247423
0.000000,200.000000,-350.000000,0.002490,0.002285,-0.000205,2.148389,2.184257,8.041001,0.002161,0.029688,0.259340
0.000000,200.000000,-300.000000,0.004774,0.004379,-0.000395,2.146908,2.182776,8.078551,0.002310,0.060377,0.277218
0.000000,200.000000,-250.000000,0.006815,0.006241,-0.000575,2.145567,2.181435,8.111573,0.002452,0.091417,0.294211
0.000000,200.000000,-200.000000,0.007464,0.006793,-0.000672,2.145072,2.180940,8.120018,0.002529,0.106190,0.303511
0.000000,200.000000,-150.000000,0.006450,0.005796,-0.000654,2.145616,2.181484,8.099954,0.002517,0.097317,0.301999
0.000000,200.000000,-100.000000,0.004222,0.003743,-0.000479,2.147042,2.182910,8.062812,0.002380,0.067566,0.285559
0.000000,200.000000,-50.000000,0.001892,0.001666,-0.000226,2.148655,2.184523,8.027561,0.002179,0.032113,0.261530
0.000000,200.000000,0.000000,0.000545,0.000481,-0.000064,2.149615,2.185483,8.008008,0.002050,0.009804,0.246057
0.000000,250.000000,-500.000000,0.000092,0.000084,-0.000008,2.149941,2.192014,8.001514,0.002006,0.000919,0.240714
0.000000,250.000000,-450.000000,0.000444,0.000407,-0.000037,2.149713,2.191787,8.007305,0.002029,0.004702,0.243444
0.000000,250.000000,-400.000000,0.001572,0.001443,-0.000129,2.148983,2.191056,8.025894,0.002102,0.017677,0.252208
0.000000,250.000000,-350.000000,0.004094,0.003757,-0.000337,2.147351,2.189424,8.067423,0.002265,0.048818,0.271799
0.000000,250.000000,-300.000000,0.007845,0.007197,-0.000648,2.144921,2.186994,8.129107,0.002509,0.099212,0.301097
0.000000,250.000000,-250.000000,0.011154,0.010219,-0.000935,2.142754,2.184828,8.182872,0.002735,0.149617,0.328212
0.000000,250.000000,-200.000000,0.012044,0.010982,-0.001063,2.142085,2.184158,8.194747,0.002837,0.171345,0.340412
0.000000,250.000000,-150.000000,0.010111,0.009127,-0.000985,2.143196,2.185270,8.158739,0.002778,0.152555,0.333300
0.000000,250.000000,-100.000000,0.006412,0.005721,-0.000691,2.145571,2.187645,8.097253,0.002547,0.102605,0.305642
0.000000,250.000000,-50.000000,0.002827,0.002507,-0.000320,2.148021,2.190094,8.042091,0.002254,0.047981,0.270438
0.000000,250.000000,0.000000,0.000820,0.000729,-0.000091,2.149430,2.191503,8.012304,0.002072,0.014753,0.248632
0.000000,300.000000,-500.000000,0.000133,0.000122,-0.000011,2.149914,2.196516,8.002191,0.002009,0.001330,0.241033
0.000000,300.000000,-450.000000,0.000642,0.000589,-0.000053,2.149585,2.196187,8.010575,0.002042,0.006806,0.244985
0.000000,300.000000,-400.000000,0.002276,0.002088,-0.000187,2.148527,2.195129,8.037484,0.002147,0.025588,0.257671
0.000000,300.000000,-350.000000,0.005926,0.005438,-0.000488,2.146166,2.192768,8.097594,0.002384,0.070662,0.286021
0.000000,300.000000,-300.000000,0.011345,0.010409,-0.000936,2.142656,2.189258,8.186777,0.002736,0.143487,0.328264
0.000000,300.000000,-250.000000,0.016058,0.014721,-0.001337,2.139584,2.186186,8.263716,0.003051,0.215394,0.366148
0.000000,300.000000,-200.000000,0.017054,0.015585,-0.001469,2.138854,2.185456,8.277581,0.003156,0.242614,0.378701
0.000000,300.000000,-150.000000,0.013818,0.012542,-0.001276,2.140821,2.187423,8.220491,0.003006,0.208492,0.360779
0.000000,300.000000,-100.000000,0.008405,0.007564,-0.000841,2.144306,2.190908,8.130815,0.002664,0.134495,0.319714
0.000000,300.000000,-50.000000,0.003623,0.003245,-0.000378,2.147519,2.194121,8.055596,0.002299,0.061489,0.275868
0.000000,300.000000,0.000000,0.001061,0.000952,-0.000109,2.149277,2.195879,8.016386,0.002086,0.019098,0.250306
0.000000,350.000000,-500.000000,0.000170,0.000156,-0.000014,2.149890,2.199163,8.002792,0.002011,0.001694,0.241316
0.000000,350.000000,-450.000000,0.000818,0.000751,-0.000067,2.149471,2.198743,8.013475,0.002053,0.008673,0.246352
0.000000,350.000000,-400.000000,0.002900,0.002661,-0.000239,2.148124,2.197396,8.047763,0.002188,0.032605,0.262517
0.000000,350.000000,-350.000000,0.007550,0.006928,-0.000622,2.145115,2.194387,8.124351,0.002489,0.090032,0.298631
0.000000,350.000000,-300.000000,0.014446,0.013255,-0.001191,2.140650,2.189923,8.237877,0.002936,0.182703,0.352284
0.000000,350.000000,-250.000000,0.020371,0.018683,-0.001688,2.136802,2.186074,8.335000,0.003326,0.273239,0.399150
0.000000,350.000000,-200.000000,0.021339,0.019539,-0.001800,2.136118,2.185391,8.349250,0.003416,0.303571,0.409896
0.000000,350.000000,-150.000000,0.016766,0.015293,-0.001473,2.138992,2.188264,8.271395,0.003160,0.252972,0.379213
0.000000,350.000000,-100.000000,0.009808,0.008901,-0.000907,2.143483,2.192755,8.156439,0.002715,0.156945,0.325830
0.000000,350.000000,-50.000000,0.004134,0.003740,-0.000394,2.147234,2.196506,8.065356,0.002311,0.070157,0.277277
0.000000,350.000000,0.000000,0.001223,0.001108,-0.000115,2.149184,2.198457,8.019413,0.002091,0.022013,0.250880
0.000000,400.000000,-500.000000,0.000190,0.000174,-0.000016,2.149877,2.199856,8.003132,0.002012,0.001900,0.241476
0.000000,400.000000,-450.000000,0.000918,0.000842,-0.000076,2.149406,2.199385,8.015114,0.002059,0.009728,0.247125
0.000000,400.000000,-400.000000,0.003253,0.002985,-0.000268,2.147895,2.197874,8.053574,0.002210,0.036571,0.265256
0.000000,400.000000,-350.000000,0.008468,0.007771,-0.000697,2.144521,2.194499,8.139473,0.002548,0.100979,0.305756
0.000000,400.000000,-300.000000,0.016196,0.014862,-0.001334,2.139519,2.189498,8.266730,0.003048,0.204834,0.365814
0.000000,400.000000,-250.000000,0.022785,0.020904,-0.001881,2.135248,2.185227,8.375029,0.003478,0.305624,0.417400
0.000000,400.000000,-200.000000,0.023661,0.021692,-0.001970,2.134653,2.184632,8.388627,0.003548,0.336609,0.425791
0.000000,400.000000,-150.000000,0.018219,0.016673,-0.001546,2.138133,2.188111,8.297740,0.003216,0.274890,0.385905
0.000000,400.000000,-100.000000,0.010372,0.009469,-0.000903,2.143205,2.193184,8.168321,0.002711,0.165970,0.325291
0.000000,400.000000,-50.000000,0.004300,0.003920,-0.000380,2.147173,2.197151,8.069480,0.002299,0.072977,0.275934
0.000000,400.000000,0.000000,0.001282,0.001169,-0.000113,2.149159,2.199137,8.020752,0.002089,0.023071,0.250633
0.000000,450.000000,-500.000000,0.000188,0.000172,-0.000015,2.149879,2.198571,8.003092,0.002012,0.001876,0.241458
0.000000,450.000000,-450.000000,0.000906,0.000831,-0.000075,2.149414,2.198106,8.014922,0.002059,0.009605,0.247035
0.000000,450.000000,-400.000000,0.003211,0.002947,-0.000264,2.147922,2.196614,8.052894,0.002208,0.036108,0.264936
0.000000,450.000000,-350.000000,0.008361,0.007672,-0.000689,2.144590,2.193283,8.137703,0.002541,0.099697,0.304919
0.000000,450.000000,-300.000000,0.015987,0.014670,-0.001317,2.139655,2.188347,8.263308,0.003035,0.202193,0.364156
0.000000,450.000000,-250.000000,0.022465,0.020613,-0.001852,2.135461,2.184153,8.369922,0.003455,0.301334,0.414609
0.000000,450.000000,-200.000000,0.023228,0.021307,-0.001921,2.134957,2.183649,8.382183,0.003509,0.330442,0.421104
0.000000,450.000000,-150.000000,0.017701,0.016227,-0.001474,2.138518,2.187210,8.290707,0.003159,0.267078,0.379049
0.000000,450.000000,-100.000000,0.009933,0.009097,-0.000836,2.143543,2.192235,8.162694,0.002657,0.158947,0.318844
0.000000,450.000000,-50.000000,0.004081,0.003735,-0.000346,2.147343,2.196036,8.066729,0.002272,0.069259,0.272606
0.000000,450.000000,0.000000,0.001221,0.001118,-0.000103,2.149205,2.197898,8.019989,0.002081,0.021986,0.249730
0.000000,500.000000,-500.000000,0.000163,0.000150,-0.000013,2.149894,2.195359,8.002687,0.002011,0.001631,0.241267
0.000000,500.000000,-450.000000,0.000787,0.000723,-0.000065,2.149491,2.194955,8.012969,0.002051,0.008347,0.246114
0.000000,500.000000,-400.000000,0.002791,0.002561,-0.000230,2.148194,2.193659,8.045970,0.002181,0.031381,0.261672
0.000000,500.000000,-350.000000,0.007266,0.006668,-0.000598,2.145298,2.190763,8.119676,0.002470,0.086645,0.296419
0.000000,500.000000,-300.000000,0.013893,0.012749,-0.001144,2.141010,2.186475,8.228825,0.002899,0.175708,0.347881
0.000000,500.000000,-250.000000,0.019513,0.017906,-0.001607,2.137373,2.182838,8.321374,0.003263,0.261742,0.391562
0.000000,500.000000,-200.000000,0.020141,0.018480,-0.001661,2.136964,2.182429,8.331624,0.003305,0.286523,0.396584
0.000000,500.000000,-150.000000,0.015284,0.014021,-0.001263,2.140103,2.185568,8.251516,0.002993,0.230609,0.359103
0.000000,500.000000,-100.000000,0.008525,0.007819,-0.000707,2.144475,2.189940,8.140179,0.002555,0.136426,0.306653
0.000000,500.000000,-50.000000,0.003489,0.003199,-0.000290,2.147738,2.193203,8.057343,0.002228,0.059220,0.267337
0.000000,500.000000,0.000000,0.001046,0.000959,-0.000087,2.149322,2.194787,8.017198,0.002068,0.018833,0.248189
0.000000,550.000000,-500.000000,0.000125,0.000115,-0.000010,2.149919,2.190344,8.002056,0.002008,0.001248,0.240969
0.000000,550.000000,-450.000000,0.000602,0.000553,-0.000050,2.149610,2.190035,8.009921,0.002039,0.006386,0.244677
0.000000,550.000000,-400.000000,0.002135,0.001959,-0.000176,2.148618,2.189043,8.035168,0.002138,0.024007,0.256579
0.000000,550.000000,-350.000000,0.005559,0.005101,-0.000458,2.146403,2.186828,8.091554,0.002360,0.066285,0.283161
0.000000,550.000000,-300.000000,0.010628,0.009753,-0.000875,2.143123,2.183548,8.175051,0.002688,0.134416,0.322526
0.000000,550.000000,-250.000000,0.014925,0.013696,-0.001229,2.140342,2.180767,8.245825,0.002966,0.200200,0.355900
0.000000,550.000000,-200.000000,0.015396,0.014128,-0.001268,2.140037,2.180462,8.253565,0.002997,0.219029,0.359586
0.000000,550.000000,-150.000000,0.011668,0.010706,-0.000962,2.142449,2.182874,8.192130,0.002756,0.176042,0.330679
0.000000,550.000000,-100.000000,0.006495,0.005959,-0.000536,2.145796,2.186220,8.106935,0.002421,0.103939,0.290523
0.000000,550.000000,-50.000000,0.002655,0.002436,-0.000219,2.148281,2.188706,8.043705,0.002172,0.045060,0.260663
0.000000,550.000000,0.000000,0.000797,0.000731,-0.000066,2.149484,2.189909,8.013113,0.002052,0.014338,0.246198
0.000000,600.000000,-500.000000,0.000084,0.000077,-0.000007,2.149946,2.183719,8.001384,0.002005,0.000840,0.240653
0.000000,600.000000,-450.000000,0.000406,0.000372,-0.000033,2.149738,2.183511,8.006681,0.002026,0.004300,0.243150
0.000000,600.000000,-400.000000,0.001438,0.001319,-0.000118,2.149070,2.182843,8.023682,0.002093,0.016166,0.251164
0.000000,600.000000,-350.000000,0.003743,0.003435,-0.000308,2.147578,2.181351,8.061653,0.002242,0.044636,0.269065
0.000000,600.000000,-300.000000,0.007157,0.006568,-0.000589,2.145369,2.179142,8.117880,0.002463,0.090516,0.295572
0.000000,600.000000,-250.000000,0.010050,0.009223,-0.000828,2.143497,2.177270,8.165535,0.002650,0.134809,0.318039
0.000000,600.000000,-200.000000,0.010366,0.009512,-0.000854,2.143293,2.177066,8.170728,0.002671,0.147465,0.320493
0.000000,600.000000,-150.000000,0.007853,0.007206,-0.000647,2.144919,2.178692,8.129330,0.002508,0.118479,0.300984
0.000000,600.000000,-100.000000,0.004369,0.004009,-0.000360,2.147173,2.180946,8.071955,0.002283,0.069915,0.273938
0.000000,600.000000,-50.000000,0.001785,0.001638,-0.000147,2.148845,2.182618,8.029402,0.002116,0.030300,0.253869
0.000000,600.000000,0.000000,0.000536,0.000492,-0.000044,2.149653,2.183426,8.008823,0.002035,0.009643,0.244161
0.000000,650.000000,-500.000000,0.000050,0.000046,-0.000004,2.149968,2.175743,8.000821,0.002003,0.000498,0.240387
0.000000,650.000000,-450.000000,0.000240,0.000221,-0.000020,2.149844,2.175619,8.003960,0.002016,0.002549,0.241867
0.000000,650.000000,-400.000000,0.000852,0.000782,-0.000070,2.149449,2.175224,8.014038,0.002055,0.009583,0.246618
0.000000,650.000000,-350.000000,0.002219,0.002036,-0.000183,2.148564,2.174339,8.036545,0.002144,0.026459,0.257229
0.000000,650.000000,-300.000000,0.004242,0.003893,-0.000349,2.147255,2.173030,8.069875,0.002275,0.053654,0.272941
0.000000,650.000000,-250.000000,0.005957,0.005467,-0.000491,2.146145,2.171920,8.098122,0.002385,0.079909,0.286258
0.000000,650.000000,-200.000000,0.006144,0.005638,-0.000506,2.146024,2.171799,8.101198,0.002398,0.087408,0.287709
0.000000,650.000000,-150.000000,0.004654,0.004271,-0.000383,2.146988,2.172764,8.076655,0.002301,0.070221,0.276139
0.000000,650.000000,-100.000000,0.002589,0.002376,-0.000213,2.148325,2.174100,8.042645,0.002168,0.041433,0.260106
0.000000,650.000000,-50.000000,0.001058,0.000971,-0.000087,2.149315,2.175091,8.017424,0.002068,0.017955,0.248215
0.000000,650.000000,0.000000,0.000317,0.000291,-0.000026,2.149795,2.175570,8.005229,0.002021,0.005714,0.242465
0.000000,700.000000,-500.000000,0.000026,0.000024,-0.000002,2.149983,2.166733,8.000428,0.002002,0.000260,0.240202
0.000000,700.000000,-450.000000,0.000125,0.000115,-0.000010,2.149919,2.166668,8.002066,0.002008,0.001330,0.240974
0.000000,700.000000,-400.000000,0.000445,0.000408,-0.000037,2.149712,2.166462,8.007325,0.002029,0.005000,0.243453
0.000000,700.000000,-350.000000,0.001158,0.001062,-0.000095,2.149251,2.166000,8.019069,0.002075,0.013806,0.248990
0.000000,700.000000,-300.000000,0.002214,0.002031,-0.000182,2.148568,2.165317,8.036459,0.002143,0.027996,0.257188
0.000000,700.000000,-250.000000,0.003108,0.002852,-0.000256,2.147989,2.164738,8.051198,0.002201,0.041695,0.264136
0.000000,700.000000,-200.000000,0.003206,0.002942,-0.000264,2.147926,2.164675,8.052803,0.002207,0.045607,0.264893
0.000000,700.000000,-150.000000,0.002428,0.002228,-0.000200,2.148429,2.165178,8.039996,0.002157,0.036639,0.258856
0.000000,700.000000,-100.000000,0.001351,0.001240,-0.000111,2.149126,2.165875,8.022251,0.002087,0.021618,0.250490
0.000000,700.000000,-50.000000,0.000552,0.000507,-0.000045,2.149643,2.166392,8.009091,0.002036,0.009368,0.244286
0.000000,700.000000,0.000000,0.000166,0.000152,-0.000014,2.149893,2.166642,8.002728,0.002011,0.002981,0.241286
0.000000,750.000000,-500.000000,0.000012,0.000011,-0.000001,2.149992,2.157048,8.000197,0.002001,0.000119,0.240093
0.000000,750.000000,-450.000000,0.000058,0.000053,-0.000005,2.149963,2.157019,8.000949,0.002004,0.000611,0.240447
0.000000,750.000000,-400.000000,0.000204,0.000187,-0.000017,2.149868,2.156924,8.003364,0.002013,0.002297,0.241586
0.000000,750.000000,-350.000000,0.000532,0.000488,-0.000044,2.149656,2.156712,8.008758,0.002034,0.006341,0.244129
0.000000,750.000000,-300.000000,0.001017,0.000933,-0.000084,2.149342,2.156398,8.016746,0.002066,0.012858,0.247894
0.000000,750.000000,-250.000000,0.001428,0.001310,-0.000118,2.149076,2.156132,8.023515,0.002092,0.019150,0.251086
0.000000,750.000000,-200.000000,0.001472,0.001351,-0.000121,2.149047,2.156103,8.024252,0.002095,0.020947,0.251433
0.000000,750.000000,-150.000000,0.001115,0.001023,-0.000092,2.149278,2.156334,8.018370,0.002072,0.016828,0.248660
0.000000,750.000000,-100.000000,0.000620,0.000569,-0.000051,2.149599,2.156655,8.010220,0.002040,0.009929,0.244818
0.000000,750.000000,-50.000000,0.000254,0.000233,-0.000021,2.149836,2.156892,8.004176,0.002016,0.004303,0.241968
0.000000,750.000000,0.000000,0.000076,0.000070,-0.000006,2.149951,2.157007,8.001253,0.002005,0.001369,0.240591
0.000000,800.000000,-500.000000,0.000005,0.000004,-0.000000,2.149997,2.147078,8.000080,0.002000,0.000048,0.240037
0.000000,800.000000,-450.000000,0.000023,0.000021,-0.000002,2.149985,2.147066,8.000384,0.002002,0.000247,0.240181
0.000000,800.000000,-400.000000,0.000083,0.000076,-0.000007,2.149947,2.147028,8.001360,0.002005,0.000928,0.240641
0.000000,800.000000,-350.000000,0.000215,0.000197,-0.000018,2.149861,2.146942,8.003541,0.002014,0.002564,0.241669
0.000000,800.000000,-300.000000,0.000411,0.000377,-0.000034,2.149734,2.146815,8.006770,0.002027,0.005199,0.243192
0.000000,800.000000,-250.000000,0.000577,0.000530,-0.000048,2.149627,2.146708,8.009507,0.002037,0.007742,0.244482
0.000000,800.000000,-200.000000,0.000595,0.000546,-0.000049,2.149615,2.146696,8.009805,0.002039,0.008469,0.244622
0.000000,800.000000,-150.000000,0.000451,0.000414,-0.000037,2.149708,2.146790,8.007427,0.002029,0.006804,0.243501
0.000000,800.000000,-100.000000,0.000251,0.000230,-0.000021,2.149838,2.146919,8.004132,0.002016,0.004014,0.241948
0.000000,800.000000,-50.000000,0.000102,0.000094,-0.000008,2.149934,2.147015,8.001688,0.002007,0.001740,0.240796
0.000000,800.000000,0.000000,0.000031,0.000028,-0.000003,2.149980,2.147061,8.000507,0.002002,0.000554,0.240239
0.000000,850.000000,-500.000000,0.000002,0.000002,-0.000000,2.149999,2.137222,8.000028,0.002000,0.000017,0.240013
0.000000,850.000000,-450.000000,0.000008,0.000008,-0.000001,2.149995,2.137218,8.000137,0.002001,0.000088,0.240064
0.000000,850.000000,-400.000000,0.000029,0.000027,-0.000002,2.149981,2.137204,8.000484,0.002002,0.000330,0.240228
0.000000,850.000000,-350.000000,0.000077,0.000070,-0.000006,2.149950,2.137173,8.001260,0.002005,0.000912,0.240594
0.000000,850.000000,-300.000000,0.000146,0.000134,-0.000012,2.149905,2.137128,8.002409,0.002009,0.001850,0.241136
0.000000,850.000000,-250.000000,0.000205,0.000189,-0.000017,2.149867,2.137090,8.003383,0.002013,0.002755,0.241595
0.000000,850.000000,-200.000000,0.000212,0.000194,-0.000017,2.149863,2.137086,8.003489,0.002014,0.003014,0.241645
0.000000,850.000000,-150.000000,0.000160,0.000147,-0.000013,2.149896,2.137119,8.002643,0.002010,0.002421,0.241246
0.000000,850.000000,-100.000000,0.000089,0.000082,-0.000007,2.149942,2.137165,8.001470,0.002006,0.001429,0.240693
0.000000,850.000000,-50.000000,0.000036,0.000033,-0.000003,2.149976,2.137199,8.000601,0.002002,0.000619,0.240283
0.000000,850.000000,0.000000,0.000011,0.000010,-0.000001,2.149993,2.137216,8.000180,0.002001,0.000197,0.240085
0.000000,900.000000,-500.000000,0.000001,0.000000,-0.000000,2.150000,2.127874,8.000009,0.002000,0.000005,0.240004
0.000000,900.000000,-450.000000,0.000003,0.000002,-0.000000,2.149998,2.127872,8.000043,0.002000,0.000028,0.240020
0.000000,900.000000,-400.000000,0.000009,0.000008,-0.000001,2.149994,2.127868,8.000152,0.002001,0.000104,0.240071
0.000000,900.000000,-350.000000,0.000024,0.000022,-0.000002,2.149984,2.127858,8.000395,0.002002,0.000286,0.240186
0.000000,900.000000,-300.000000,0.000046,0.000042,-0.000004,2.149970,2.127844,8.000755,0.002003,0.000580,0.240356
0.000000,900.000000,-250.000000,0.000064,0.000059,-0.000005,2.149958,2.127832,8.001060,0.002004,0.000863,0.240500
0.000000,900.000000,-200.000000,0.000066,0.000061,-0.000005,2.149957,2.127831,8.001093,0.002004,0.000944,0.240515
0.000000,900.000000,-150.000000,0.000050,0.000046,-0.000004,2.149967,2.127841,8.000828,0.002003,0.000758,0.240390
0.000000,900.000000,-100.000000,0.000028,0.000026,-0.000002,2.149982,2.127856,8.000461,0.002002,0.000448,0.240217
0.000000,900.000000,-50.000000,0.000011,0.000010,-0.000001,2.149993,2.127867,8.000188,0.002001,0.000194,0.240089
0.000000,900.000000,0.000000,0.000003,0.000003,-0.000000,2.149998,2.127872,8.000056,0.002000,0.000062,0.240027
0.000000,950.000000,-500.000000,0.000000,0.000000,-0.000000,2.150000,2.119407,8.000002,0.002000,0.000001,0.240001
0.000000,950.000000,-450.000000,0.000001,0.000001,-0.000000,2.150000,2.119407,8.000012,0.002000,0.000008,0.240006
0.000000,950.000000,-400.000000,0.000003,0.000002,-0.000000,2.149998,2.119405,8.000042,0.002000,0.000029,0.240020
0.000000,950.000000,-350.000000,0.000007,0.000006,-0.000001,2.149996,2.119403,8.000109,0.002000,0.000079,0.240051
0.000000,950.000000,-300.000000,0.000013,0.000012,-0.000001,2.149992,2.119399,8.000208,0.002001,0.000160,0.240098
0.000000,950.000000,-250.000000,0.000018,0.000016,-0.000001,2.149989,2.119396,8.000292,0.002001,0.000238,0.240138
0.000000,950.000000,-200.000000,0.000018,0.000017,-0.000002,2.149988,2.119395,8.000301,0.002001,0.000260,0.240142
0.000000,950.000000,-150.000000,0.000014,0.000013,-0.000001,2.149991,2.119398,8.000228,0.002001,0.000209,0.240108
0.000000,950.000000,-100.000000,0.000008,0.000007,-0.000001,2.149995,2.119402,8.000127,0.002000,0.000123,0.240060
0.000000,950.000000,-50.000000,0.000003,0.000003,-0.000000,2.149998,2.119405,8.000052,0.002000,0.000053,0.240024
0.000000,950.000000,0.000000,0.000001,0.000001,-0.000000,2.149999,2.119406,8.000016,0.002000,0.000017,0.240007
0.000000,1000.000000,-500.000000,0.000000,0.000000,-0.000000,2.150000,2.112160,8.000001,0.002000,0.000000,0.240000
0.000000,1000.000000,-450.000000,0.000000,0.000000,-0.000000,2.150000,2.112160,8.000003,0.002000,0.000002,0.240001
0.000000,1000.000000,-400.000000,0.000001,0.000001,-0.000000,2.150000,2.112159,8.000010,0.002000,0.000007,0.240005
